IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Rank Difference,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB,Male Infant Present,
2,1,2010,1.244,0.062,maternal sib,2,0.4,0,0.4,0.742,0.705,0,1,0,0,0,1
2,1,2011,2.602,0.062,maternal sib,2,0.3,0,0.3,0.838,0.866,0,0,0,0,0,0
8,1,2010,1.387,0,maternal non-kin,4.9,0.7,0,0.7,0.845,0.705,0,0,0,0,0,0
8,1,2011,1.531,0,maternal non-kin,4.9,0.7,0,0.7,0.887,0.866,0,0,0,0,0,0
11,1,2010,1.336,0,maternal non-kin,3,0.6,0,0.6,0.758,0.705,0,0,0,0,0,0
11,1,2011,1.298,0,maternal non-kin,3,0.5,0,0.5,0.875,0.866,0,0,0,0,0,0
18,1,2010,0.213,0.221,maternal non-kin,1.1,0.1,0,0.1,0.921,0.705,1,0,0,0,1,0
18,1,2011,0.355,0.221,maternal non-kin,1.1,0.6,0,0.6,0.887,0.866,1,0,0,0,1,0
26,1,2010,1.05,0.07,maternal non-kin,4.3,0.9,0,0.9,0.951,0.705,0,0,0,0,0,0
26,1,2011,0.325,0.07,maternal non-kin,4.3,0.9,0,0.9,0.929,0.866,1,0,0,0,1,0
27,1,2010,1.034,0.031,Excluded from model testing for effect of kinship categories,15.9,0.3,0,0.3,0.74,0.705,0,1,0,0,0,1
27,1,2011,1.592,0.031,Excluded from model testing for effect of kinship categories,15.9,0.2,0,0.2,0.731,0.866,0,0,0,0,0,0
28,1,2010,0.381,0,maternal non-kin,2.1,0.8,0,0.8,0.882,0.705,0,0,0,0,0,0
28,1,2011,0.466,0,maternal non-kin,2.1,0.8,0,0.8,0.94,0.866,0,0,0,0,0,0
29,1,2010,0,0.022,maternal non-kin,6.7,1,0,1,0.956,0.705,0,0,0,0,0,0
29,1,2011,0.299,0.022,maternal non-kin,6.7,1,0,1,0.976,0.866,0,1,0,0,0,1
30,1,2010,2.897,0.519,mother-offspring,8.9,0.5,0,0.5,0.692,0.705,0,0,0,0,0,0
30,1,2011,1.051,0.519,mother-offspring,8.9,0.4,0,0.4,0.863,0.866,0,0,0,0,0,0
32,1,2010,2.29,0.172,maternal non-kin,6.2,0.2,0,0.2,0.602,0.705,0,0,0,0,0,0
32,1,2011,0.571,0.172,maternal non-kin,6.2,0.1,0,0.1,0.875,0.866,0,0,0,0,0,0
8,2,2009,3.328,0.406,paternal sib,3,0.778,0.333,0.445,0.809,0.766,0,1,0,1,0,1
8,2,2010,0.307,0.406,paternal sib,3,0.7,0.4,0.3,0.845,0.742,0,0,0,1,0,1
8,2,2011,1.372,0.406,paternal sib,3,0.7,0.3,0.4,0.887,0.838,0,0,0,0,0,0
11,2,2009,4.51,0.123,paternal sib,1,0.556,0.333,0.223,0.81,0.766,0,0,0,1,0,1
11,2,2010,0.377,0.123,paternal sib,1,0.6,0.4,0.2,0.758,0.742,0,0,0,1,0,1
11,2,2011,0.502,0.123,paternal sib,1,0.5,0.3,0.2,0.875,0.838,0,0,0,0,0,0
18,2,2009,1.792,0,maternal non-kin,0.9,0,0.333,0.333,0.729,0.766,0,0,0,1,0,1
18,2,2010,1.114,0,maternal non-kin,0.9,0.1,0.4,0.3,0.921,0.742,1,0,0,1,1,1
18,2,2011,0.797,0,maternal non-kin,0.9,0.6,0.3,0.3,0.887,0.838,1,0,0,0,1,0
26,2,2009,3.389,0,maternal non-kin,2.3,0.889,0.333,0.556,0.841,0.766,0,0,0,1,0,1
26,2,2010,0.681,0,maternal non-kin,2.3,0.9,0.4,0.5,0.951,0.742,0,0,0,1,0,1
26,2,2011,0.26,0,maternal non-kin,2.3,0.9,0.3,0.6,0.929,0.838,1,0,0,0,1,0
27,2,2009,0.103,0.35,Excluded from model testing for effect of kinship categories,13.9,0.222,0.333,0.111,0.609,0.766,0,0,0,1,0,1
27,2,2010,0.62,0.35,Excluded from model testing for effect of kinship categories,13.9,0.3,0.4,0.1,0.74,0.742,0,1,0,1,0,1
27,2,2011,0.241,0.35,Excluded from model testing for effect of kinship categories,13.9,0.2,0.3,0.1,0.731,0.838,0,0,0,0,0,0
28,2,2009,3.626,0,maternal non-kin,0.2,0.667,0.333,0.334,0.969,0.766,1,0,0,1,1,1
28,2,2010,0.32,0,maternal non-kin,0.2,0.8,0.4,0.4,0.882,0.742,0,0,0,1,0,1
