Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
1,1,2,1,2010,1.244,0.062,maternal sib,2.000,0.400,0.000,0.742,0.705,0,1,0,0
1,1,2,1,2011,2.602,0.062,maternal sib,2.000,0.300,0.000,0.838,0.866,0,0,0,0
1,2,8,1,2010,1.387,0.000,maternal non-kin,4.900,0.700,0.000,0.845,0.705,0,0,0,0
1,2,8,1,2011,1.531,0.000,maternal non-kin,4.900,0.700,0.000,0.887,0.866,0,0,0,0
1,3,11,1,2010,1.336,0.000,maternal non-kin,3.000,0.600,0.000,0.758,0.705,0,0,0,0
1,3,11,1,2011,1.298,0.000,maternal non-kin,3.000,0.500,0.000,0.875,0.866,0,0,0,0
1,4,18,1,2010,0.213,0.221,maternal non-kin,1.100,0.100,0.000,0.921,0.705,1,0,0,0
1,4,18,1,2011,0.355,0.221,maternal non-kin,1.100,0.600,0.000,0.887,0.866,1,0,0,0
1,5,26,1,2010,1.050,0.070,maternal non-kin,4.300,0.900,0.000,0.951,0.705,0,0,0,0
1,5,26,1,2011,0.325,0.070,maternal non-kin,4.300,0.900,0.000,0.929,0.866,1,0,0,0
1,6,27,1,2010,1.034,0.031,Excluded from model testing for effect of kinship categories,15.900,0.300,0.000,0.740,0.705,0,1,0,0
1,6,27,1,2011,1.592,0.031,Excluded from model testing for effect of kinship categories,15.900,0.200,0.000,0.731,0.866,0,0,0,0
1,7,28,1,2010,0.381,0.000,maternal non-kin,2.100,0.800,0.000,0.882,0.705,0,0,0,0
1,7,28,1,2011,0.466,0.000,maternal non-kin,2.100,0.800,0.000,0.940,0.866,0,0,0,0
1,8,29,1,2010,0.000,0.022,maternal non-kin,6.700,1.000,0.000,0.956,0.705,0,0,0,0
1,8,29,1,2011,0.299,0.022,maternal non-kin,6.700,1.000,0.000,0.976,0.866,0,1,0,0
1,9,30,1,2010,2.897,0.519,mother-offspring,8.900,0.500,0.000,0.692,0.705,0,0,0,0
1,9,30,1,2011,1.051,0.519,mother-offspring,8.900,0.400,0.000,0.863,0.866,0,0,0,0
